source_row_number,field_name,issue_code,raw_value,detail
1422,School,school_missing,,School is blank in the source export
1423,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1423,School,school_missing,,School is blank in the source export
1424,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1424,School,school_missing,,School is blank in the source export
1424,School,school_missing_undergraduate,,School is blank for an undergraduate application
1429,Loans,large_monetary_value_review,"Reason: housing
Source: med bank
Mortgaged Asset: house
Start Date: 2015-04-08
End Date: 2030-10-31
Total Amount: LBP 568366473
Monthly Payment: LBP 3000000
Remaining Balance: 186358484
Remaining Years: 6 years",loans_total_amount=568366473.0; currency_signal=lbp; currency_guess=lbp
1429,Loans,large_monetary_value_review,"Reason: housing
Source: med bank
Mortgaged Asset: house
Start Date: 2015-04-08
End Date: 2030-10-31
Total Amount: LBP 568366473
Monthly Payment: LBP 3000000
Remaining Balance: 186358484
Remaining Years: 6 years",loans_total_remaining_balance=186358484.0; currency_signal=lbp; currency_guess=lbp
1431,Loans,large_monetary_value_review,"Reason: Housing
Source: Banque De L'habitat
Mortgaged Asset: appartment
Start Date: 2014-08-21
End Date: 2040-08-31
Total Amount: 540,000,000 LBP
Monthly Payment: 2,123,990 LBP
Remaining Balance: 377,731,261 LBP
Remaining Years: 17",loans_total_amount=540000000.0; currency_signal=lbp; currency_guess=lbp
1431,Loans,large_monetary_value_review,"Reason: Housing
Source: Banque De L'habitat
Mortgaged Asset: appartment
Start Date: 2014-08-21
End Date: 2040-08-31
Total Amount: 540,000,000 LBP
Monthly Payment: 2,123,990 LBP
Remaining Balance: 377,731,261 LBP
Remaining Years: 17",loans_total_remaining_balance=377731261.0; currency_signal=lbp; currency_guess=lbp
1435,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1435,School,school_missing,,School is blank in the source export
1436,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1436,School,school_missing,,School is blank in the source export
1436,School,school_missing_undergraduate,,School is blank for an undergraduate application
1443,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1443,School,school_missing,,School is blank in the source export
1448,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1448,School,school_missing,,School is blank in the source export
1448,School,school_missing_undergraduate,,School is blank for an undergraduate application
1450,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1450,School,school_missing,,School is blank in the source export
1459,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1459,School,school_missing,,School is blank in the source export
1463,Loans,likely_lbp_without_currency_marker,"Reason: buy an apartment
Source: مصرف الاسكان
Mortgaged Asset: apartment
Start Date: 2015-02-06
End Date: 2030-02-06
Total Amount: 255,560,000 LP
Monthly Payment: 2,015,723 LP
Remaining Balance: 80,628,920 (estimate number until we recieve the contract)
Remaining Years: 3",loans_total_amount=255560000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
1470,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_early_applications'
1486,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1486,School,school_missing,,School is blank in the source export
1486,School,school_missing_undergraduate,,School is blank for an undergraduate application
1488,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_regular'
1489,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
1490,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1490,School,school_missing,,School is blank in the source export
1494,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1494,School,school_missing,,School is blank in the source export
1495,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1495,School,school_missing,,School is blank in the source export
1506,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1506,School,school_missing,,School is blank in the source export
1506,School,school_missing_undergraduate,,School is blank for an undergraduate application
1507,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1507,School,school_missing,,School is blank in the source export
1508,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1508,School,school_missing,,School is blank in the source export
1510,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1514,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1514,Loans,mixed_currency_signal,"Reason: Housing loan (under law suit)
Source: BLOM BANK
Mortgaged Asset: Apartment in Monteverde
Start Date: 2011-07-07
End Date: 2031-07-07
Total Amount: $204,000
Monthly Payment: $1,582
Remaining Balance: $107,000
Remaining Years: In law suit (attached file) as emaining balance was settled in LBP but rejected by bank",Contains both USD and LBP/L.L. markers
1514,School,school_missing,,School is blank in the source export
1514,School,school_missing_undergraduate,,School is blank for an undergraduate application
1518,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1518,School,school_missing,,School is blank in the source export
1520,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1522,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1522,School,school_missing,,School is blank in the source export
