raw_source_row_number,raw_source_sheet_name,parsed_school,parsed_level,parsed_nationality,parsed_applicant_citizenship,actual_target,predicted_probability_awarded,confidence_score,selected_threshold,approve_threshold,reject_threshold,fairness_risk_flag,fairness_risk_reason,recommended_action,action_reason,case_explanation
107,Export,International School of Choueifat: Sharjah,Undergraduate,Palestine,Palestine,0,0.06625400483608246,0.9337459951639175,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1296,Export,Al Ofaq Al Jadeed High School,Undergraduate,Lebanon,Lebanon,1,0.9172412753105164,0.9172412753105164,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1139,Export,"Hariri High School II, Beirut",Undergraduate,Lebanon,Lebanon,0,0.09945052117109299,0.900549478828907,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1627,Export,,Undergraduate,Lebanon,Lebanon,0,0.1942400336265564,0.8057599663734436,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
3,Export,The International School of Choueifat - Choueifat,Undergraduate,Lebanon,Lebanon,0,0.21670636534690857,0.7832936346530914,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1408,Export,The International School of Choueifat - Choueifat,Undergraduate,Lebanon,Lebanon,1,0.7038629055023193,0.7038629055023193,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
645,Export,"Ecole des Filles de la Charite, Clemeceau",Undergraduate,Lebanon,Lebanon,1,0.9500519037246704,0.9500519037246704,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
974,Export,"International College (IC), Beirut",Undergraduate,Lebanon,Lebanon,0,0.00832802802324295,0.991671971976757,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1347,Export,"Saint Joseph School Cornet Shehwan, Cornet Chahwan",Undergraduate,Lebanon,Lebanon,1,0.8792500495910645,0.8792500495910645,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
215,Export,"Iklim High School, Daraya",Undergraduate,Lebanon,Lebanon,1,0.8201384544372559,0.8201384544372559,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2275,Export,"College Notre Dame Du Mont Carmel Soeurs Carmelites de St Th, Fanar",Undergraduate,Lebanon,Lebanon Greece,0,0.059141434729099274,0.9408585652709007,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2370,Export,"Houssameddine Hariri High School, Saida",Undergraduate,Lebanon,Lebanon,0,0.44578996300697327,0.5542100369930267,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2129,Export,,Graduate,Lebanon,Lebanon,0,0.7238873243331909,0.7238873243331909,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
398,Export,,Graduate,Lebanon,Lebanon,0,0.9045491814613342,0.9045491814613342,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1016,Export,,Graduate,Nigeria,Nigeria,1,0.9564871191978455,0.9564871191978455,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
256,Export,,Graduate,Lebanon,Lebanon,1,0.7540329694747925,0.7540329694747925,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
272,Export,"College Saint Joseph Des Soeurs Antonines, Ksara",Undergraduate,Lebanon,Lebanon,0,0.3804126977920532,0.6195873022079468,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2280,Export,Lycée Français International Elite Beyrou,Undergraduate,Lebanon,Lebanon,0,0.7380074262619019,0.7380074262619019,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
3114,Export,"Le Lycee National, Choueifat",Undergraduate,Lebanon,Lebanon,1,0.9770911335945129,0.9770911335945129,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1454,Export,"Hariri High School II, Beirut",Undergraduate,Lebanon,Lebanon Turkey,1,0.7841581106185913,0.7841581106185913,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2377,Export,"Deutsche Internationale Schule Beirut (DISB), Khaldah",Undergraduate,Lebanon,Lebanon,1,0.7594113349914551,0.7594113349914551,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
490,Export,"Ecole des Soeurs De Saint Joseph de L'apparition, Beirut",Undergraduate,Lebanon,Lebanon,0,0.9081277847290039,0.9081277847290039,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
809,Export,Bekaa Youth Education Center,Undergraduate,Palestine,Palestine Lebanon,1,0.6979540586471558,0.6979540586471558,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2106,Export,"Lycee Adonis, Kfarshima",Undergraduate,Lebanon,Lebanon,1,0.8618167638778687,0.8618167638778687,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
632,Export,"International College (IC), Beirut",Undergraduate,Lebanon,Lebanon,0,0.8288645148277283,0.8288645148277283,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1903,Export,"American Community School Beirut (ACS), Beirut",Undergraduate,Lebanon,Lebanon,0,0.34743809700012207,0.6525619029998779,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1929,Export,"Lycée Franco Libanais, Verdun",Undergraduate,Lebanon,Lebanon,1,0.9261676669120789,0.9261676669120789,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1727,Export,,Professional,Lebanon,,1,0.6140391826629639,0.6140391826629639,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
3125,Export,,Undergraduate,Lebanon,Lebanon,1,0.7962143421173096,0.7962143421173096,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1536,Export,,Professional,Lebanon,Lebanon,1,0.2707825303077698,0.7292174696922302,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
